TABLA DE MORTALIDAD DE RENTISTAS,,,,,
SEXO FEMENINO,,,,,
COLOMBIA (EXPERIENCIA 2005-2008),,,,,
Superbancaria Financiera de Colombia Resoluci�n 1555 de 2010,,,,,
y,ly,ey,dy,qy,py
67,911658.00000,21.00083,7629.00000,0.00837,0.99163
68,904029.00000,20.17384,8367.00000,0.00926,0.99074
69,895662.00000,19.35762,9177.00000,0.01025,0.98975
70,886485.00000,18.55284,10065.00000,0.01135,0.98865
71,876420.00000,17.76016,11036.00000,0.01259,0.98741
72,865384.00000,16.98028,12095.00000,0.01398,0.98602
73,853289.00000,16.21388,13245.00000,0.01552,0.98448
74,840044.00000,15.46164,14490.00000,0.01725,0.98275
75,825554.00000,14.72424,15832.00000,0.01918,0.98082
76,809722.00000,14.00236,17272.00000,0.02133,0.97867
77,792450.00000,13.29666,18809.00000,0.02374,0.97626
78,773641.00000,12.60777,20439.00000,0.02642,0.97358
79,753202.00000,11.93633,22154.00000,0.02941,0.97059
80,731048.00000,11.28290,23943.00000,0.03275,0.96725
81,707105.00000,10.64802,25791.00000,0.03647,0.96353
82,681314.00000,10.03217,27677.00000,0.04062,0.95938
83,653637.00000,9.43579,29572.00000,0.04524,0.95476
84,624065.00000,8.85922,31445.00000,0.05039,0.94961
85,592620.00000,8.30277,33252.00000,0.05611,0.94389
86,559368.00000,7.76661,34945.00000,0.06247,0.93753
87,524423.00000,7.25082,36469.00000,0.06954,0.93046
88,487954.00000,6.75537,37762.00000,0.07739,0.92261
89,450192.00000,6.28007,38757.00000,0.08609,0.91391
90,411435.00000,5.82455,39386.00000,0.09573,0.90427
91,372049.00000,5.38822,39709.00000,0.10673,0.89327
92,332340.00000,4.97228,39700.00000,0.11946,0.88054
93,292640.00000,4.57899,39188.00000,0.13391,0.86609
94,253452.00000,4.20968,38041.00000,0.15009,0.84991
95,215411.00000,3.86480,36189.00000,0.16800,0.83200
96,179222.00000,3.54422,33628.00000,0.18763,0.81237
97,145594.00000,3.24735,30428.00000,0.20899,0.79101
98,115166.00000,2.97323,26728.00000,0.23208,0.76792
99,88438.00000,2.72070,22719.00000,0.25689,0.74311
100,65719.00000,2.48839,18627.00000,0.28343,0.71657
101,47092.00000,2.27489,14679.00000,0.31171,0.68829
102,32413.00000,2.07869,11075.00000,0.34168,0.65832
103,21338.00000,1.89807,7968.00000,0.37342,0.62658
104,13370.00000,1.73126,5440.00000,0.40688,0.59312
105,7930.00000,1.57591,3505.00000,0.44199,0.55801
106,4425.00000,1.42814,2119.00000,0.47887,0.52113
107,2306.00000,1.28101,1194.00000,0.51778,0.48222
108,1112.00000,1.11960,620.00000,0.55755,0.44245
109,492.00000,0.90041,295.00000,0.59959,0.40041
110,197.00000,0.50000,197.00000,1.00000,0.00000
111,0.00000,,0.00000,1.00000,
